record_id,employee_alias,department,input_text,category,source_id,score,status,reviewer_action,audit_timestamp
HR-333,EMP-532,IT,The workload is too high,Workload,SRC-8260,0.91,Pending,None,2026-09-05 13:12:18
HR-334,EMP-200,HR,Employees should be appreciated more,Recognition,SRC-2528,0.95,Pending,None,2026-08-22 06:17:18
HR-335,EMP-270,Sales,We need better workload distribution,Workload,SRC-1960,0.66,Pending,None,2026-08-11 14:27:18
HR-336,EMP-499,Finance,Compensation should reflect responsibilities,Compensation,SRC-5673,0.76,Pending,None,2026-09-05 19:08:18
HR-337,EMP-777,Operations,Work pressure is increasing,Workload,SRC-4566,0.97,Pending,None,2026-09-06 20:43:18
HR-338,EMP-853,Marketing,I don't know,Unclear,SRC-1936,0.22,Pending,None,2026-09-02 04:52:18
HR-339,EMP-614,Customer Support,We need regular team updates,Communication,SRC-2312,0.92,Pending,None,2026-08-14 14:56:18
HR-340,EMP-709,HR,We need better workload distribution,Workload,SRC-2964,0.96,Pending,None,2026-09-06 10:20:18
HR-341,EMP-352,Marketing,Employees should be appreciated more,Recognition,SRC-7868,0.85,Pending,None,2026-09-06 05:28:18
HR-342,EMP-635,Finance,Work pressure is increasing,Workload,SRC-4910,0.7,Pending,None,2026-08-17 11:03:18
HR-343,EMP-787,Operations,Managers should give more feedback,Management,SRC-1152,0.77,Pending,None,2026-09-06 03:02:18
HR-344,EMP-202,HR,We need better employee appreciation,Recognition,SRC-3170,0.95,Pending,None,2026-08-14 15:14:18
HR-345,EMP-350,Finance,The work environment needs improvement,Work Environment,SRC-5956,0.83,Pending,None,2026-09-10 06:24:18
HR-346,EMP-641,HR,We need better employee appreciation,Recognition,SRC-2697,0.96,Pending,None,2026-08-17 14:46:18
HR-347,EMP-370,HR,More professional development would help,Career Growth,SRC-3546,0.7,Pending,None,2026-09-08 00:44:18
HR-348,EMP-315,Operations,We need more learning programs,Career Growth,SRC-9280,0.79,Pending,None,2026-08-13 19:35:18
HR-349,EMP-194,Operations,Managers should give more feedback,Management,SRC-1058,0.73,Pending,None,2026-08-17 10:59:18
HR-350,EMP-752,Finance,The work environment needs improvement,Work Environment,SRC-8007,0.81,Pending,None,2026-08-16 14:17:18
HR-351,EMP-177,Operations,Employees should be appreciated more,Recognition,SRC-7049,0.82,Pending,None,2026-08-18 05:51:18
HR-352,EMP-540,IT,I don't know,Unclear,SRC-1653,0.51,Pending,None,2026-08-21 01:33:18
HR-353,EMP-798,IT,Leadership can improve employee support,Management,SRC-7658,0.97,Pending,None,2026-08-18 12:54:18
HR-354,EMP-342,Customer Support,Employees need better compensation,Compensation,SRC-7755,0.61,Pending,None,2026-08-26 14:56:18
HR-355,EMP-901,Sales,Employees need better compensation,Compensation,SRC-5371,0.66,Pending,None,2026-08-16 10:10:18
HR-356,EMP-491,Customer Support,There are some issues,Unclear,SRC-4644,0.27,Pending,None,2026-09-01 10:52:18
HR-357,EMP-458,Finance,Employees need better compensation,Compensation,SRC-4652,0.61,Pending,None,2026-08-20 07:02:18
HR-358,EMP-508,Finance,Teams should communicate more clearly,Communication,SRC-6753,0.84,Pending,None,2026-08-29 16:39:18
HR-359,EMP-795,Customer Support,Need better internal communication,Communication,SRC-5279,0.67,Pending,None,2026-08-23 14:03:18
HR-360,EMP-139,HR,We need better support from managers,Management,SRC-8149,0.83,Pending,None,2026-09-03 18:42:18
HR-361,EMP-218,Sales,Work pressure is increasing,Workload,SRC-1727,0.87,Pending,None,2026-08-11 13:56:18
HR-362,EMP-632,Customer Support,Employees need better career growth opportunities,Career Growth,SRC-6967,0.76,Pending,None,2026-08-26 12:45:18
HR-363,EMP-738,Finance,Teams should communicate more clearly,Communication,SRC-9308,0.72,Pending,None,2026-08-30 02:10:18
HR-364,EMP-434,Sales,Good work should receive more recognition,Recognition,SRC-4143,0.76,Pending,None,2026-08-28 18:13:18
HR-365,EMP-793,Operations,Employees deserve more recognition,Recognition,SRC-5930,0.75,Pending,None,2026-08-11 12:32:18
HR-366,EMP-411,Finance,Benefits could be improved,Compensation,SRC-6279,0.78,Pending,None,2026-08-31 15:03:18
HR-367,EMP-791,IT,Employees need better compensation,Compensation,SRC-2389,0.71,Pending,None,2026-09-09 07:26:18
HR-368,EMP-734,Finance,It is okay,Unclear,SRC-6085,0.28,Pending,None,2026-08-20 13:36:18
HR-369,EMP-250,HR,There are some issues,Unclear,SRC-2193,0.36,Pending,None,2026-09-09 03:58:18
HR-370,EMP-689,IT,The workplace facilities are good,Work Environment,SRC-7547,0.69,Pending,None,2026-09-10 08:41:18
HR-371,EMP-804,HR,Salary structure could be improved,Compensation,SRC-7965,0.68,Pending,None,2026-09-04 01:50:18
HR-372,EMP-575,HR,Salary structure could be improved,Compensation,SRC-8478,0.65,Pending,None,2026-09-01 15:36:18
HR-373,EMP-783,Marketing,We need better employee appreciation,Recognition,SRC-8251,0.83,Pending,None,2026-09-03 11:27:18
HR-374,EMP-536,Customer Support,The office environment could be improved,Work Environment,SRC-8777,0.77,Pending,None,2026-08-22 18:09:18
HR-375,EMP-960,Operations,Benefits could be improved,Compensation,SRC-8939,0.84,Pending,None,2026-08-24 00:02:18
HR-376,EMP-550,HR,Work pressure is increasing,Workload,SRC-6502,0.72,Pending,None,2026-09-05 02:05:18
HR-377,EMP-182,IT,The office environment could be improved,Work Environment,SRC-4505,0.62,Pending,None,2026-08-30 01:18:18
HR-378,EMP-438,Marketing,Important information is not shared on time,Communication,SRC-7883,0.75,Pending,None,2026-09-07 02:04:18
HR-379,EMP-812,HR,Benefits could be improved,Compensation,SRC-7232,0.78,Pending,None,2026-08-27 12:18:18
HR-380,EMP-405,Customer Support,Compensation should reflect responsibilities,Compensation,SRC-9818,0.88,Pending,None,2026-09-05 08:37:18
HR-381,EMP-919,Marketing,The office environment could be improved,Work Environment,SRC-5471,0.77,Pending,None,2026-08-12 19:48:18
HR-382,EMP-498,Finance,Compensation should reflect responsibilities,Compensation,SRC-3704,0.92,Pending,None,2026-08-17 07:30:18
HR-383,EMP-737,Marketing,No clear opinion,Unclear,SRC-1444,0.23,Pending,None,2026-08-31 00:15:18
HR-384,EMP-238,Customer Support,Teams should communicate more clearly,Communication,SRC-7211,0.72,Pending,None,2026-09-01 04:45:18
HR-385,EMP-434,Finance,We need a better working environment,Work Environment,SRC-7906,0.7,Pending,None,2026-08-15 05:33:18
HR-386,EMP-581,HR,Teams should communicate more clearly,Communication,SRC-4673,0.85,Pending,None,2026-09-10 03:59:18
HR-387,EMP-141,Customer Support,It is okay,Unclear,SRC-4266,0.49,Pending,None,2026-09-08 18:45:18
HR-388,EMP-256,IT,Better,Unclear,SRC-2874,0.4,Pending,None,2026-08-21 10:10:18
HR-389,EMP-576,Operations,Management should listen to employees,Management,SRC-2876,0.9,Pending,None,2026-08-18 22:58:18
HR-390,EMP-418,HR,Leadership can improve employee support,Management,SRC-7149,0.75,Pending,None,2026-08-20 12:43:18
HR-391,EMP-177,Marketing,Employees need better career growth opportunities,Career Growth,SRC-2669,0.86,Pending,None,2026-08-25 05:30:18
HR-392,EMP-970,Operations,We need regular team updates,Communication,SRC-1672,0.73,Pending,None,2026-08-31 00:00:18
HR-393,EMP-777,Finance,I don't know,Unclear,SRC-1207,0.5,Pending,None,2026-09-02 19:31:18
HR-394,EMP-208,Sales,There should be clearer promotion opportunities,Career Growth,SRC-3506,0.77,Pending,None,2026-09-04 05:59:18
HR-395,EMP-766,Finance,Hard work should be recognized,Recognition,SRC-8616,0.77,Pending,None,2026-09-07 11:14:18
HR-396,EMP-374,Finance,Salary structure could be improved,Compensation,SRC-5569,0.94,Pending,None,2026-08-22 14:27:18
HR-397,EMP-868,Sales,There should be clearer promotion opportunities,Career Growth,SRC-6511,0.61,Pending,None,2026-08-26 07:06:18
HR-398,EMP-286,Sales,Pay should be reviewed regularly,Compensation,SRC-6576,0.71,Pending,None,2026-09-07 15:15:18
HR-399,EMP-818,Finance,Good work should receive more recognition,Recognition,SRC-2402,0.69,Pending,None,2026-08-30 00:01:18
HR-400,EMP-600,Marketing,There should be clearer promotion opportunities,Career Growth,SRC-9041,0.77,Pending,None,2026-08-12 06:56:18
HR-401,EMP-195,Finance,Employees need better career growth opportunities,Career Growth,SRC-6016,0.85,Pending,None,2026-08-28 07:10:18
HR-402,EMP-584,Marketing,The work environment needs improvement,Work Environment,SRC-6419,0.73,Pending,None,2026-09-01 03:42:18
HR-403,EMP-377,Finance,Important information is not shared on time,Communication,SRC-6169,0.65,Pending,None,2026-09-04 21:24:18
HR-404,EMP-880,Operations,We need better workload distribution,Workload,SRC-5530,0.88,Pending,None,2026-09-04 09:08:18
HR-405,EMP-711,Finance,Employees need better compensation,Compensation,SRC-5853,0.69,Pending,None,2026-08-19 16:05:18
HR-406,EMP-409,HR,Work pressure is increasing,Workload,SRC-1745,0.97,Pending,None,2026-09-05 16:30:18
HR-407,EMP-399,Operations,There should be clearer promotion opportunities,Career Growth,SRC-2680,0.93,Pending,None,2026-09-06 15:07:18
HR-408,EMP-391,Sales,Management should listen to employees,Management,SRC-1841,0.7,Pending,None,2026-09-02 05:54:18
HR-409,EMP-216,Customer Support,There are some issues,Unclear,SRC-2213,0.4,Pending,None,2026-08-13 22:39:18
HR-410,EMP-255,IT,Managers should give more feedback,Management,SRC-5066,0.65,Pending,None,2026-08-30 10:40:18
HR-411,EMP-720,Marketing,Some employees have too much work,Workload,SRC-7232,0.77,Pending,None,2026-08-31 15:40:18
HR-412,EMP-404,Customer Support,We need a better working environment,Work Environment,SRC-1986,0.83,Pending,None,2026-08-16 00:29:18
HR-413,EMP-881,IT,Managers should give more feedback,Management,SRC-3573,0.69,Pending,None,2026-09-05 15:01:18
HR-414,EMP-176,IT,There are some issues,Unclear,SRC-8699,0.3,Pending,None,2026-08-22 00:56:18
HR-415,EMP-395,Operations,Compensation should reflect responsibilities,Compensation,SRC-2166,0.86,Pending,None,2026-08-23 13:03:18
HR-416,EMP-906,Customer Support,Employees need better career growth opportunities,Career Growth,SRC-7965,0.64,Pending,None,2026-08-21 17:39:18
HR-417,EMP-763,IT,Employees need better compensation,Compensation,SRC-2169,0.62,Pending,None,2026-08-25 12:05:18
HR-418,EMP-709,Operations,Managers should communicate expectations clearly,Management,SRC-3037,0.78,Pending,None,2026-08-25 08:14:18
HR-419,EMP-816,Sales,Employees deserve more recognition,Recognition,SRC-9090,0.77,Pending,None,2026-09-07 17:18:18
HR-420,EMP-140,Sales,We need better employee appreciation,Recognition,SRC-1423,0.63,Pending,None,2026-09-06 16:22:18
HR-421,EMP-701,HR,We need more learning programs,Career Growth,SRC-1659,0.89,Pending,None,2026-08-19 11:27:18
HR-422,EMP-581,Marketing,Management should listen to employees,Management,SRC-8141,0.84,Pending,None,2026-09-02 21:11:18
HR-423,EMP-193,Sales,We need better support from managers,Management,SRC-2713,0.93,Pending,None,2026-08-26 12:20:18
HR-424,EMP-521,Operations,There should be clearer promotion opportunities,Career Growth,SRC-1601,0.77,Pending,None,2026-08-25 19:38:18
HR-425,EMP-358,Finance,Not good,Unclear,SRC-7622,0.5,Pending,None,2026-08-11 13:21:18
HR-426,EMP-773,Customer Support,The workplace environment is comfortable,Work Environment,SRC-4073,0.8,Pending,None,2026-09-08 20:10:18
HR-427,EMP-874,Sales,Salary structure could be improved,Compensation,SRC-4335,0.7,Pending,None,2026-08-17 11:12:18
HR-428,EMP-394,Sales,The workplace environment is comfortable,Work Environment,SRC-1472,0.97,Pending,None,2026-09-08 05:09:18
HR-429,EMP-918,IT,Leadership can improve employee support,Management,SRC-1224,0.81,Pending,None,2026-08-15 17:54:18
HR-430,EMP-330,Customer Support,The workplace environment is comfortable,Work Environment,SRC-3522,0.79,Pending,None,2026-08-24 18:53:18
HR-431,EMP-621,Operations,Compensation should reflect responsibilities,Compensation,SRC-8736,0.69,Pending,None,2026-09-05 14:13:18
HR-432,EMP-248,Sales,Employees deserve more recognition,Recognition,SRC-3236,0.93,Pending,None,2026-08-24 01:50:18
HR-433,EMP-891,Customer Support,Leadership can improve employee support,Management,SRC-5377,0.91,Pending,None,2026-08-24 09:02:18
HR-434,EMP-843,Finance,Hard work should be recognized,Recognition,SRC-3434,0.77,Pending,None,2026-09-02 13:07:18
HR-435,EMP-453,Finance,Hard work should be recognized,Recognition,SRC-8460,0.95,Pending,None,2026-08-20 02:09:18
HR-436,EMP-814,IT,We need better workload distribution,Workload,SRC-1715,0.72,Pending,None,2026-09-02 00:42:18
HR-437,EMP-822,Customer Support,Employees need better career growth opportunities,Career Growth,SRC-9115,0.97,Pending,None,2026-08-17 05:59:18
HR-438,EMP-614,Marketing,There should be better communication between departments,Communication,SRC-2633,0.8,Pending,None,2026-09-01 07:11:18
HR-439,EMP-115,Operations,Not good,Unclear,SRC-3529,0.23,Pending,None,2026-08-23 13:34:18
HR-440,EMP-446,Marketing,More training opportunities are needed,Career Growth,SRC-6383,0.92,Pending,None,2026-09-04 18:57:18
HR-441,EMP-489,Finance,Compensation should reflect responsibilities,Compensation,SRC-9864,0.61,Pending,None,2026-08-14 14:50:18
HR-442,EMP-340,Operations,Management should listen to employees,Management,SRC-2480,0.76,Pending,None,2026-08-15 23:37:18
HR-443,EMP-878,Operations,There should be better communication between departments,Communication,SRC-3725,0.86,Pending,None,2026-08-12 19:43:18
HR-444,EMP-147,Finance,We need better support from managers,Management,SRC-7141,0.76,Pending,None,2026-08-22 14:49:18
HR-445,EMP-643,Sales,Employees need better compensation,Compensation,SRC-3785,0.67,Pending,None,2026-09-08 05:49:18
HR-446,EMP-991,Sales,We need better workload distribution,Workload,SRC-3344,0.69,Pending,None,2026-09-09 12:51:18
HR-447,EMP-360,Sales,There should be better communication between departments,Communication,SRC-5712,0.86,Pending,None,2026-08-18 16:39:18
HR-448,EMP-175,Sales,We need better employee appreciation,Recognition,SRC-7951,0.86,Pending,None,2026-09-01 07:05:18
HR-449,EMP-965,Finance,The workplace facilities are good,Work Environment,SRC-2747,0.69,Pending,None,2026-09-06 12:47:18
HR-450,EMP-467,Marketing,We need more learning programs,Career Growth,SRC-1359,0.97,Pending,None,2026-09-10 11:03:18
HR-451,EMP-505,Finance,Things could be better,Unclear,SRC-9138,0.49,Pending,None,2026-08-24 12:42:18
HR-452,EMP-894,Customer Support,Pay should be reviewed regularly,Compensation,SRC-4588,0.84,Pending,None,2026-09-08 18:16:18
HR-453,EMP-356,Operations,Employees need better compensation,Compensation,SRC-2591,0.94,Pending,None,2026-09-09 22:04:18
HR-454,EMP-140,Finance,We need regular team updates,Communication,SRC-6977,0.88,Pending,None,2026-08-15 14:32:18
HR-455,EMP-402,Finance,Too many tasks are assigned at once,Workload,SRC-3165,0.9,Pending,None,2026-08-28 03:42:18
HR-456,EMP-643,Marketing,Employees need better compensation,Compensation,SRC-5210,0.95,Pending,None,2026-09-02 10:24:18
HR-457,EMP-925,Finance,Managers should give more feedback,Management,SRC-8673,0.97,Pending,None,2026-08-17 21:50:18
HR-458,EMP-872,IT,There should be clearer promotion opportunities,Career Growth,SRC-6992,0.63,Pending,None,2026-08-29 11:04:18
HR-459,EMP-114,Finance,We need a better working environment,Work Environment,SRC-5295,0.82,Pending,None,2026-09-09 13:33:18
HR-460,EMP-480,HR,The workplace environment is comfortable,Work Environment,SRC-6374,0.95,Pending,None,2026-08-21 13:53:18
HR-461,EMP-763,HR,We need a better working environment,Work Environment,SRC-7689,0.64,Pending,None,2026-08-13 13:37:18
HR-462,EMP-138,Finance,Need better internal communication,Communication,SRC-4846,0.94,Pending,None,2026-08-17 16:16:18
HR-463,EMP-497,Sales,More professional development would help,Career Growth,SRC-7866,0.82,Pending,None,2026-08-18 12:52:18
HR-464,EMP-524,Operations,There are some issues,Unclear,SRC-7686,0.53,Pending,None,2026-08-24 05:39:18
HR-465,EMP-133,Operations,The workplace facilities are good,Work Environment,SRC-4868,0.93,Pending,None,2026-08-16 00:37:18
HR-466,EMP-802,Finance,We need more learning programs,Career Growth,SRC-1992,0.75,Pending,None,2026-08-20 03:25:18
HR-467,EMP-225,Customer Support,Important information is not shared on time,Communication,SRC-1349,0.62,Pending,None,2026-08-26 16:22:18
HR-468,EMP-349,IT,The workload is too high,Workload,SRC-4394,0.82,Pending,None,2026-08-22 02:35:18
HR-469,EMP-436,Customer Support,Manager,Unclear,SRC-1046,0.3,Pending,None,2026-08-18 02:08:18
HR-470,EMP-233,Marketing,The workload is too high,Workload,SRC-1422,0.65,Pending,None,2026-08-27 19:23:18
HR-471,EMP-908,Customer Support,Managers should give more feedback,Management,SRC-3854,0.7,Pending,None,2026-08-17 06:33:18
HR-472,EMP-859,Sales,More training opportunities are needed,Career Growth,SRC-8802,0.77,Pending,None,2026-08-27 23:32:18
HR-473,EMP-625,Marketing,Manager,Unclear,SRC-4629,0.53,Pending,None,2026-08-13 11:27:18
HR-474,EMP-844,Customer Support,More professional development would help,Career Growth,SRC-5941,0.77,Pending,None,2026-08-12 22:07:18
HR-475,EMP-162,Sales,The workplace environment is comfortable,Work Environment,SRC-9032,0.87,Pending,None,2026-08-31 16:35:18
HR-476,EMP-175,HR,The workload is too high,Workload,SRC-3067,0.7,Pending,None,2026-09-09 07:35:18
HR-477,EMP-699,Marketing,The work environment needs improvement,Work Environment,SRC-9692,0.71,Pending,None,2026-09-03 12:17:18
HR-478,EMP-719,Sales,Not sure about this,Unclear,SRC-4522,0.35,Pending,None,2026-08-21 21:40:18
HR-479,EMP-523,Finance,The workplace facilities are good,Work Environment,SRC-2557,0.72,Pending,None,2026-08-25 17:27:18
HR-480,EMP-781,Finance,We need better workload distribution,Workload,SRC-2099,0.63,Pending,None,2026-08-15 09:20:18
HR-481,EMP-195,Sales,I don't know,Unclear,SRC-3131,0.39,Pending,None,2026-09-07 04:40:18
HR-482,EMP-675,Marketing,There should be better communication between departments,Communication,SRC-6793,0.93,Pending,None,2026-08-30 18:03:18
HR-483,EMP-988,Operations,Could improve,Unclear,SRC-6119,0.32,Pending,None,2026-09-06 19:20:18
HR-484,EMP-619,IT,The office environment could be improved,Work Environment,SRC-2773,0.73,Pending,None,2026-09-05 19:41:18
HR-485,EMP-476,HR,Good work should receive more recognition,Recognition,SRC-8030,0.92,Pending,None,2026-09-08 19:11:18
HR-486,EMP-728,Operations,We need regular team updates,Communication,SRC-5381,0.61,Pending,None,2026-08-23 22:35:18
HR-487,EMP-819,Customer Support,We need better support from managers,Management,SRC-1100,0.67,Pending,None,2026-08-18 00:34:18
HR-488,EMP-679,Operations,The workload is too high,Workload,SRC-2503,0.88,Pending,None,2026-08-21 07:04:18
HR-489,EMP-485,Sales,Work pressure is increasing,Workload,SRC-6105,0.87,Pending,None,2026-09-06 08:03:18
HR-490,EMP-710,HR,Too many tasks are assigned at once,Workload,SRC-1815,0.86,Pending,None,2026-08-23 21:18:18
HR-491,EMP-553,Operations,Hard work should be recognized,Recognition,SRC-7785,0.7,Pending,None,2026-09-03 19:43:18
HR-492,EMP-216,Finance,Leadership can improve employee support,Management,SRC-8972,0.8,Pending,None,2026-08-25 12:58:18
HR-493,EMP-146,IT,Employees should be appreciated more,Recognition,SRC-1125,0.68,Pending,None,2026-08-21 02:49:18
HR-494,EMP-885,IT,We need better support from managers,Management,SRC-2965,0.6,Pending,None,2026-08-31 02:29:18
HR-495,EMP-279,IT,Employees need better career growth opportunities,Career Growth,SRC-9196,0.81,Pending,None,2026-08-27 14:56:18
HR-496,EMP-173,Sales,There should be better communication between departments,Communication,SRC-1307,0.77,Pending,None,2026-08-15 01:08:18
HR-497,EMP-982,Finance,Hard work should be recognized,Recognition,SRC-7843,0.71,Pending,None,2026-08-29 22:30:18
HR-498,EMP-121,Finance,Hard work should be recognized,Recognition,SRC-6928,0.63,Pending,None,2026-08-16 07:43:18
HR-499,EMP-349,Sales,Employees should be appreciated more,Recognition,SRC-7484,0.93,Pending,None,2026-08-26 22:56:18
HR-500,EMP-326,Finance,We need regular team updates,Communication,SRC-2868,0.8,Pending,None,2026-08-20 07:53:18
HR-501,EMP-894,Finance,Employees need better compensation,Compensation,SRC-4871,0.64,Pending,None,2026-08-23 03:41:18
HR-502,EMP-302,IT,Salary structure could be improved,Compensation,SRC-3902,0.96,Pending,None,2026-09-09 01:59:18
HR-503,EMP-605,Sales,Benefits could be improved,Compensation,SRC-8354,0.86,Pending,None,2026-09-06 04:40:18
HR-504,EMP-758,Operations,We need better support from managers,Management,SRC-3473,0.77,Pending,None,2026-09-01 20:17:18
HR-505,EMP-552,Operations,Leadership can improve employee support,Management,SRC-1920,0.73,Pending,None,2026-08-14 21:08:18
HR-506,EMP-417,Sales,Teams should communicate more clearly,Communication,SRC-5703,0.63,Pending,None,2026-08-15 14:43:18
HR-507,EMP-729,Marketing,The work environment needs improvement,Work Environment,SRC-1672,0.77,Pending,None,2026-09-06 12:30:18
HR-508,EMP-767,IT,The work environment needs improvement,Work Environment,SRC-3471,0.96,Pending,None,2026-09-01 00:11:18
HR-509,EMP-205,Customer Support,Managers should give more feedback,Management,SRC-9266,0.85,Pending,None,2026-08-13 06:51:18
HR-510,EMP-353,Operations,The work environment needs improvement,Work Environment,SRC-9564,0.83,Pending,None,2026-08-28 01:34:18
HR-511,EMP-481,Finance,Pay should be reviewed regularly,Compensation,SRC-1857,0.9,Pending,None,2026-09-09 23:07:18
HR-512,EMP-442,HR,Hard work should be recognized,Recognition,SRC-5655,0.7,Pending,None,2026-09-10 09:14:18
HR-513,EMP-717,Customer Support,We need regular team updates,Communication,SRC-3317,0.95,Pending,None,2026-08-25 14:57:18
HR-514,EMP-771,Operations,Some employees have too much work,Workload,SRC-2388,0.72,Pending,None,2026-08-28 15:32:18
HR-515,EMP-758,Customer Support,Some employees have too much work,Workload,SRC-2531,0.85,Pending,None,2026-08-30 18:34:18
HR-516,EMP-620,Finance,Could improve,Unclear,SRC-3953,0.53,Pending,None,2026-08-27 01:21:18
HR-517,EMP-884,Sales,Too many tasks are assigned at once,Workload,SRC-2264,0.71,Pending,None,2026-08-16 02:34:18
HR-518,EMP-619,Customer Support,More professional development would help,Career Growth,SRC-1618,0.85,Pending,None,2026-09-08 15:09:18
HR-519,EMP-234,Marketing,Too many tasks are assigned at once,Workload,SRC-3712,0.87,Pending,None,2026-08-13 11:49:18
HR-520,EMP-520,Finance,We need better workload distribution,Workload,SRC-5668,0.89,Pending,None,2026-08-31 22:26:18
HR-521,EMP-339,Marketing,Compensation should reflect responsibilities,Compensation,SRC-4178,0.74,Pending,None,2026-09-06 11:09:18
HR-522,EMP-551,Sales,Compensation should reflect responsibilities,Compensation,SRC-9239,0.8,Pending,None,2026-08-18 21:06:18
HR-523,EMP-936,IT,Work pressure is increasing,Workload,SRC-1854,0.84,Pending,None,2026-08-28 09:33:18
HR-524,EMP-667,HR,Employees should be appreciated more,Recognition,SRC-5670,0.63,Pending,None,2026-08-18 19:12:18
HR-525,EMP-379,Sales,We need better workload distribution,Workload,SRC-2502,0.96,Pending,None,2026-08-21 14:37:18
HR-526,EMP-936,Sales,There should be better communication between departments,Communication,SRC-1872,0.75,Pending,None,2026-08-28 12:33:18
HR-527,EMP-341,Sales,Management should listen to employees,Management,SRC-1461,0.72,Pending,None,2026-08-16 00:19:18
HR-528,EMP-959,Operations,Employees need better compensation,Compensation,SRC-3254,0.61,Pending,None,2026-09-02 00:08:18
HR-529,EMP-812,Customer Support,Better,Unclear,SRC-8685,0.36,Pending,None,2026-08-11 17:50:18
HR-530,EMP-181,HR,Employees need better compensation,Compensation,SRC-9991,0.96,Pending,None,2026-09-08 05:09:18
HR-531,EMP-640,Sales,Communication...,Unclear,SRC-4893,0.31,Pending,None,2026-08-13 16:15:18
HR-532,EMP-344,Sales,Hard work should be recognized,Recognition,SRC-2029,0.64,Pending,None,2026-09-03 06:02:18
HR-533,EMP-711,Marketing,Nothing specific,Unclear,SRC-4963,0.45,Pending,None,2026-08-24 18:14:18
HR-534,EMP-539,HR,Some employees have too much work,Workload,SRC-7825,0.67,Pending,None,2026-08-15 09:36:18
